fee_id,security_fee,other_fee,admission_year_1,admission_year_2,admission_year_3,admission_year_4,admission_year_5,admission_year_6,year_1_fee,year_2_fee,year_3_fee,year_4_fee,year_5_fee,year_6_fee,created_at,college_id,course_id,last_updated_by_id,session_id
215,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,50000,50000,50000.0,50000.0,0.0,0.0,,1,2155,,8
216,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,40000,40000,40000.0,0.0,0.0,0.0,,1,6561,,8
217,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,190000,190000,0.0,0.0,0.0,0.0,,3,9979,,8
218,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,70000,70000,70000.0,70000.0,0.0,0.0,,5,9982,,8
219,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,70000,70000,0.0,0.0,0.0,0.0,,1,5757,,8
220,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,50000,50000,0.0,0.0,0.0,0.0,,1,6476,,8
221,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,40000,40000,40000.0,0.0,0.0,0.0,,1,6526,,8
222,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,40000,40000,40000.0,0.0,0.0,0.0,,1,7492,,8
223,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,40000,40000,40000.0,0.0,0.0,0.0,,1,8859,,8
224,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,70000,70000,70000.0,70000.0,0.0,0.0,,1,8873,,8
225,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,60000,60000,60000.0,0.0,0.0,0.0,,1,9293,,8
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000,40000,40000.0,0.0,0.0,0.0,,4,4549,,8
228,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,60000,60000,0.0,0.0,0.0,0.0,,4,7291,,8
229,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,60000,60000,0.0,0.0,0.0,0.0,,4,7895,,8
230,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,60000,60000,0.0,0.0,0.0,0.0,,4,9978,,8
231,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,190000,190000,0.0,0.0,0.0,0.0,,3,3511,,8
232,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,190000,190000,0.0,0.0,0.0,0.0,,3,9980,,8
233,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,190000,190000,0.0,0.0,0.0,0.0,,3,9983,,8
234,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,90000,90000,90000.0,90000.0,0.0,0.0,,4,9984,,8
235,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,35000,35000,35000.0,0.0,0.0,0.0,,2,9825,,8
