id,curr_year,promotion_date,status,duration,created_at,updated_at,modified_by_id,student_id
1526,2,,promoted,3,,,,10116
1422,2,,promoted,4,,,,10012
1413,1,,new_admission,4,,,,10003
1414,1,,new_admission,4,,,,10004
1418,1,,new_admission,4,,,,10008
1419,1,,new_admission,4,,,,10009
1421,1,,new_admission,4,,,,10011
1423,1,,new_admission,4,,,,10013
1424,1,,new_admission,4,,,,10014
1427,1,,new_admission,4,,,,10017
1436,1,,new_admission,4,,,,10026
1448,1,,new_admission,2,,,,10038
1463,1,,new_admission,2,,,,10053
1466,1,,new_admission,2,,,,10056
1481,1,,new_admission,2,,,,10071
1483,1,,new_admission,3,,,,10073
1487,1,,new_admission,3,,,,10077
1504,1,,new_admission,3,,,,10094
1506,1,,new_admission,3,,,,10096
1519,1,,new_admission,2,,,,10109
1524,1,,new_admission,3,,,,10114
1525,1,,new_admission,3,,,,10115
1527,1,,new_admission,3,,,,10117
1529,1,,new_admission,3,,,,10119
1415,2,,promoted,2,,,,10005
1416,2,,promoted,2,,,,10006
1441,2,,promoted,2,,,,10031
1523,2,,promoted,2,,,,10113
1442,2,,promoted,2,,,,10032
1447,2,,promoted,2,,,,10037
1449,2,,promoted,2,,,,10039
1450,2,,promoted,2,,,,10040
1453,2,,promoted,2,,,,10043
1454,2,,promoted,2,,,,10044
1456,2,,promoted,2,,,,10046
1457,2,,promoted,2,,,,10047
1460,2,,promoted,2,,,,10050
1464,2,,promoted,2,,,,10054
1468,2,,promoted,2,,,,10058
1469,2,,promoted,2,,,,10059
1473,2,,promoted,2,,,,10063
1476,2,,promoted,2,,,,10066
1443,2,,promoted,2,,,,10033
1444,2,,promoted,2,,,,10034
1445,2,,promoted,2,,,,10035
1455,2,,promoted,2,,,,10045
1461,2,,promoted,2,,,,10051
1446,2,,promoted,2,,,,10036
1438,2,,promoted,3,,,,10028
1439,2,,promoted,3,,,,10029
1479,2,,promoted,2,,,,10069
1480,2,,promoted,2,,,,10070
1477,2,,promoted,2,,,,10067
1478,2,,promoted,2,,,,10068
1484,2,,promoted,3,,,,10074
1520,2,,promoted,2,,,,10110
1521,2,,promoted,2,,,,10111
1511,2,,promoted,3,,,,10101
1516,2,,promoted,3,,,,10106
1518,2,,promoted,2,,,,10108
1452,2,,promoted,2,,,,10042
1474,2,,promoted,2,,,,10064
1451,2,,promoted,2,,,,10041
1458,2,,promoted,2,,,,10048
